subor,nastroj,cas_vykonania,pocet_chyb,vystup
./client/downloadable.py,mypy,2025-03-13T14:04:52.759095,17,"client/downloadable.py:17: error: Library stubs not installed for ""aiofiles""  [import-untyped]
client/downloadable.py:17: note: Hint: ""python3 -m pip install types-aiofiles""
client/downloadable.py:17: note: (or run ""mypy --install-types"" to install all missing stub packages)
client/downloadable.py:17: note: See https://mypy.readthedocs.io/en/stable/running_mypy.html#missing-imports
client/downloadable.py:20: error: Library stubs not installed for ""requests""  [import-untyped]
client/downloadable.py:20: note: Hint: ""python3 -m pip install types-requests""
client/downloadable.py:47: note: By default the bodies of untyped functions are not checked, consider using --check-untyped-defs  [annotation-unchecked]
client/downloadable.py:65: error: No overload variant of ""dataclass"" matches argument type ""bool""  [call-overload]
client/downloadable.py:65: note: Possible overload variants:
client/downloadable.py:65: note:     def dataclass(None, /) -> Callable[[type[_T]], type[_T]]
client/downloadable.py:65: note:     def [_T] dataclass(type[_T], /) -> type[_T]
client/downloadable.py:65: note:     def dataclass(*, init: bool = ..., repr: bool = ..., eq: bool = ..., order: bool = ..., unsafe_hash: bool = ..., frozen: bool = ...) -> Callable[[type[_T]], type[_T]]
client/downloadable.py:107: error: X | Y syntax for unions requires Python 3.10  [syntax]
client/downloadable.py:229: error: X | Y syntax for unions requires Python 3.10  [syntax]
client/downloadable.py:231: error: X | Y syntax for unions requires Python 3.10  [syntax]
client/downloadable.py:333: error: Cannot assign to a method  [method-assign]
Found 7 errors in 1 file (checked 1 source file)"
./client/qobuz.py,pylint,2025-03-13T14:04:53.289294,7,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)
************* Module streamrip.client.qobuz
client/qobuz.py:10:0: E0401: Unable to import 'aiohttp' (import-error)

------------------------------------------------------------------
Your code has been rated at 9.78/10 (previous run: 9.78/10, +0.00)"
./client/qobuz.py,pyflakes,2025-03-13T14:04:56.168529,0,
./client/qobuz.py,flake8,2025-03-13T14:04:56.275314,3,"./client/qobuz.py:167:1: W293 blank line contains whitespace
./client/qobuz.py:396:17: E126 continuation line over-indented for hanging indent
./client/qobuz.py:397:17: E123 closing bracket does not match indentation of opening bracket's line"
./client/qobuz.py,mypy,2025-03-13T14:04:56.516247,7,"client/qobuz.py:91: error: Item ""None"" of ""Optional[Match[Any]]"" has no attribute ""group""  [union-attr]
client/qobuz.py:111: error: Item ""None"" of ""Optional[Match[Any]]"" has no attribute ""group""  [union-attr]
client/qobuz.py:115: error: Incompatible types in assignment (expression has type ""str"", target has type ""list[Any]"")  [assignment]
client/qobuz.py:119: error: Argument 1 to ""list"" has incompatible type ""_odict_values[Any, list[Any]]""; expected ""Iterable[str]""  [arg-type]
client/qobuz.py:431: error: Item ""nullcontext[Any]"" of ""Union[Any, nullcontext[Any]]"" has no attribute ""__aenter__""  [union-attr]
client/qobuz.py:431: error: Item ""nullcontext[Any]"" of ""Union[Any, nullcontext[Any]]"" has no attribute ""__aexit__""  [union-attr]
Found 6 errors in 1 file (checked 1 source file)"
./client/soundcloud.py,pylint,2025-03-13T14:04:57.102846,5,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)

--------------------------------------------------------------------
Your code has been rated at 10.00/10 (previous run: 10.00/10, +0.00)"
./client/soundcloud.py,pyflakes,2025-03-13T14:05:00.025820,0,
./client/soundcloud.py,flake8,2025-03-13T14:05:00.150359,0,
./client/soundcloud.py,mypy,2025-03-13T14:05:00.382045,1,Success: no issues found in 1 source file
./client/tidal.py,pylint,2025-03-13T14:05:00.944553,10,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)
************* Module streamrip.client.tidal
client/tidal.py:9:0: E0401: Unable to import 'aiohttp' (import-error)
client/tidal.py:245:74: E1131: unsupported operand type(s) for | (unsupported-binary-operation)
client/tidal.py:313:47: E1131: unsupported operand type(s) for | (unsupported-binary-operation)
client/tidal.py:341:20: E1205: Too many arguments for logging format string (logging-too-many-args)

------------------------------------------------------------------
Your code has been rated at 8.83/10 (previous run: 8.83/10, +0.00)"
./client/tidal.py,pyflakes,2025-03-13T14:05:03.835265,0,
./client/tidal.py,flake8,2025-03-13T14:05:03.949645,0,
./client/tidal.py,mypy,2025-03-13T14:05:04.174976,7,"client/tidal.py:245: error: X | Y syntax for unions requires Python 3.10  [syntax]
client/tidal.py:313: error: X | Y syntax for unions requires Python 3.10  [syntax]
client/tidal.py:320: error: Item ""nullcontext[Any]"" of ""Union[Any, nullcontext[Any]]"" has no attribute ""__aenter__""  [union-attr]
client/tidal.py:320: error: Item ""nullcontext[Any]"" of ""Union[Any, nullcontext[Any]]"" has no attribute ""__aexit__""  [union-attr]
client/tidal.py:338: error: Item ""nullcontext[Any]"" of ""Union[Any, nullcontext[Any]]"" has no attribute ""__aenter__""  [union-attr]
client/tidal.py:338: error: Item ""nullcontext[Any]"" of ""Union[Any, nullcontext[Any]]"" has no attribute ""__aexit__""  [union-attr]
Found 6 errors in 1 file (checked 1 source file)"
./media/__init__.py,pylint,2025-03-13T14:05:04.714049,5,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)

--------------------------------------------------------------------
Your code has been rated at 10.00/10 (previous run: 10.00/10, +0.00)"
./media/__init__.py,pyflakes,2025-03-13T14:05:06.308251,0,
./media/__init__.py,flake8,2025-03-13T14:05:06.407324,0,
./media/__init__.py,mypy,2025-03-13T14:05:06.599194,1,Success: no issues found in 1 source file
./media/album.py,pylint,2025-03-13T14:05:07.147385,9,"************* Module /home/tomas/Stiahnuté/streamrip/.pylintrc
.pylintrc:1:0: F0011: error while parsing the configuration: While reading from '/home/tomas/Stiahnuté/streamrip/.pylintrc' [line 417]: section 'MESSAGES CONTROL' already exists (config-parse-error)
************* Module streamrip.media.album
media/album.py:21:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
media/album.py:46:1: E1123: Unexpected keyword argument 'slots' in function call (unexpected-keyword-arg)
media/album.py:53:31: E1131: unsupported operand type(s) for | (unsupported-binary-operation)

------------------------------------------------------------------
Your code has been rated at 7.76/10 (previous run: 7.76/10, +0.00)"
./media/album.py,pyflakes,2025-03-13T14:05:10.167125,0,
